Event,Green,Yellow,Red,Start,Closest_teleport,Duration
Portal event (Highsteppe),08:35,08:45,08:55,09:00,Rope Bridge,10:00
Flying Fish (Rainforest),08:35,08:45,08:55,09:00,Demon's Cave,10:00
Defend the castle-piece (Lamavora),08:35,08:45,08:55,09:00,Vulcan Point,05:00
Obnobi Encampment (Rainforest),09:35,09:45,09:55,10:00,Demon's Cave,05:40
Knight's Fort (Lamavora),09:35,09:45,09:55,10:00,Knight's Fort,06:00
Public event (Wastelands),09:35,09:45,09:55,10:00,Old Growth,02:30
Gate defense (Highsteppe),10:35,10:45,10:55,11:00,Trader's Road,06:00
Wagon Graveyard (Rainforest),10:35,10:45,10:55,11:00,Wagon Graveyard,04:00
Public event (Hulthine's Basin),10:35,10:45,10:55,11:00,Flying High,05:00
Portal event (Highsteppe),11:35,11:45,11:55,12:00,Rope Bridge,10:00
Flying Fish (Rainforest),11:35,11:45,11:55,12:00,Demon's Cave,10:00
Knight's Fort (Lamavora),11:35,11:45,11:55,12:00,Knight's Fort,06:00
Obnobi Encampment (Rainforest),12:35,12:45,12:55,13:00,Demon's Cave,05:40
Defend the castle-piece (Lamavora),12:35,12:45,12:55,13:00,Vulcan Point,05:00
Public event (Hulthine's Basin),12:35,12:45,12:55,13:00,Flying High,05:00
Public event (Wastelands),12:35,12:45,12:55,13:00,Old Growth,02:30
Portal event (Highsteppe),13:35,13:45,13:55,14:00,Rope Bridge,10:00
Essence Mine (Lamavora),13:35,13:45,13:55,14:00,Crystal Mine,10:00
Gate defense (Highsteppe),14:35,14:45,14:55,15:00,Trader's Road,06:00
Flying Fish (Rainforest),14:35,14:45,14:55,15:00,Demon's Cave,10:00
Wagon Graveyard (Rainforest),14:35,14:45,14:55,15:00,Wagon Graveyard,04:00
Obnobi Encampment (Rainforest),15:35,15:45,15:55,16:00,Demon's Cave,05:40
Knight's Fort (Lamavora),15:35,15:45,15:55,16:00,Knight's Fort,06:00
Portal event (Highsteppe),16:35,16:45,16:55,17:00,Rope Bridge,10:00
Essence Mine (Lamavora),16:35,16:45,16:55,17:00,Crystal Mine,10:00
Public event (Hulthine's Basin),16:35,16:45,16:55,17:00,Flying High,05:00
Public event (Wastelands),16:35,16:45,16:55,17:00,Old Growth,02:30
Gate defense (Highsteppe),17:35,17:45,17:55,18:00,Trader's Road,06:00
Wagon Graveyard (Rainforest),17:35,17:45,17:55,18:00,Wagon Graveyard,04:00
Obnobi Encampment (Rainforest),18:35,18:45,18:55,19:00,Demon's Cave,05:40
Defend the castle-piece (Lamavora),18:35,18:45,18:55,19:00,Vulcan Point,05:00
Knight's Fort (Lamavora),19:35,19:45,19:55,20:00,Knight's Fort,06:00
Gate defense (Highsteppe),19:35,19:45,19:55,20:00,Trader's Road,06:00
Public event (Wastelands),19:35,19:45,19:55,20:00,Old Growth,02:30
Portal event (Highsteppe),20:35,20:45,20:55,21:00,Rope Bridge,10:00
Wagon Graveyard (Rainforest),20:35,20:45,20:55,21:00,Wagon Graveyard,05:40
Flying Fish (Rainforest),20:35,20:45,20:55,21:00,Demon's Cave,10:00
Essence Mine (Lamavora),20:35,20:45,20:55,21:00,Crystal Mine,10:00
Public event (Hulthine's Basin),20:35,20:45,20:55,21:00,Flying High,05:00
Defend the castle-piece (Lamavora),21:35,21:45,21:55,22:00,Vulcan Point,05:00
Public event (Wastelands),22:35,22:45,22:55,23:00,Old Growth,02:30
Gate defense (Highsteppe),22:35,22:45,22:55,23:00,Trader's Road,06:00
Obnobi Encampment (Rainforest),22:35,22:45,22:55,23:00,Demon's Cave,05:40
